,oracle_id,name,name_ja
0,8adbba6e-03ef-4278-aec5-8a4496b377a8,Abandon Hope,断念
1,5a70ccfa-d12d-4e62-a1a4-f05cda2fd442,Abandoned Outpost,見捨てられた前哨地
2,c208b959-d0e4-4a9a-8255-2c7cc7596767,Abbey Gargoyles,修道院のガーゴイル
3,62e3f285-886c-414e-b4ff-403a7c01c23a,Abbey Matron,
4,d0e1904e-1a37-41f6-8582-b9ea794bb886,Abduction,誘拐
5,6300de53-6e71-4f0e-87e1-b0acd25c59a8,Abeyance,中断
6,dd97e457-07eb-4918-b780-ae7ff42a37e7,Abjure,拒絶
7,d6d7faa8-ecc9-408b-9c46-a0f62c74f567,Abolish,廃止
8,2c57c4e9-0a46-45d6-92db-9203fb722b60,Abomination,忌まわしき者
9,28f70f86-19a9-4811-bc10-423a05842d39,Aboroth,アボロス
10,95db05eb-2c25-43f2-8e18-dfc64f490634,Aboshan's Desire,アボシャンの願望
11,d4d44264-b276-4bd7-8fbe-6af292b08773,"Aboshan, Cephalid Emperor",セファリッドの皇帝アボシャン
12,8a810017-06ac-4824-bc2f-a7d303d58ad7,About Face,回れ右
13,41785f7b-3d02-4b7f-86ff-b381f626142e,Absolute Grace,絶対の優雅
14,f4aa8391-34d5-4ad2-a981-9aa08f8229db,Absolute Law,絶対の法
15,132ca99a-a3c7-4ed6-b4d0-0edcd7140ca2,Absorb,吸収
16,a2404d88-0621-49ae-9908-052c23a96ac6,Abu Ja'far,アブー・ジャーファル
17,eccc9a54-2b56-4a02-9926-258d5b2e25fb,Abundance,豊穣
18,4954181c-cb46-4cac-adc3-2c8b7693a211,Abyssal Gatekeeper,深淵の門番
19,6b60422a-765b-4168-a37b-68109103385a,Abyssal Horror,深淵の怪物
20,b96ccc2f-88e5-4522-924e-76fc76dc3b39,Abyssal Hunter,深淵の狩人
21,10733767-1c97-4e2e-b02b-54bf346f6583,Abyssal Nightstalker,深淵の夜魔
22,51833cff-6519-4806-8d91-0040e9a02189,Abyssal Specter,深淵の死霊
23,e3c85068-b4b6-40b9-a16c-5c3b2d059ec4,Academy Rector,アカデミーの学長
24,df2d2c52-475b-4057-9cf8-7886700f0fae,Academy Researchers,アカデミーの研究者
25,79189464-9645-4411-8886-68fd40a588ed,Accelerate,加速
26,f8a9c279-0f11-4a22-8651-f9caf013ca3c,Accelerated Mutation,促成の突然変異
27,2b6d95b5-0680-43ae-9ff3-8e287a9eb837,Acceptable Losses,容認される損失
28,1ca25379-d194-4670-a7bf-525ad11cf436,Accumulated Knowledge,蓄積した知識
29,b1e6921e-e460-4e58-82b0-d98ee31c279d,Accursed Centaur,呪われたケンタウルス
30,bf034a20-e362-4f38-9bf9-857777c62598,Acidic Dagger,酸の短剣
31,a149eeb1-007c-435d-9d55-34af205090e0,Acidic Sliver,酸性スリヴァー
32,4ccc1ac5-db90-4fc9-9795-7afaf7466c3e,Acidic Soil,酸性土
33,6aeba615-2d37-4eb8-a377-41a517e95aa3,Acorn Harvest,ドングリの収穫
34,c6d0f1bc-b82a-4e64-a4bc-11ad3f54c71a,Acridian,アクリディアン虫
35,205ffa76-ff8e-4405-b21a-42358a9883c2,Active Volcano,活火山
36,bd372a53-48f9-4e9a-ab00-0f9c4606d452,Adarkar Sentinel,
37,287cd5e8-51e2-42a4-a139-c112ff89706d,Adarkar Unicorn,
38,d5ad26cc-2bdb-46b7-b8bf-dd099d5fa09b,Adarkar Wastes,アダーカー荒原
39,3745aea4-4455-4859-9772-bcfd14e4067b,Addle,頭の混乱
40,831e2185-0bb2-45bb-99cd-d2091bad86f0,Advance Scout,先発の斥候
41,ea93acc8-0c1f-42a2-bed3-f385d210d58f,Aegis of Honor,名誉の神盾
42,0cf78877-bf08-413c-8ecb-8c3265ac1c4a,Aegis of the Meek,
43,d13aff7c-f0ee-44e2-ae1c-62cd86ad46a6,Aerial Caravan,天駆ける隊商
44,99dcde0b-4f4d-4d7a-89aa-8a89c256e38f,Aesthir Glider,エイスサーの滑空機
45,0fe602b7-9f88-4d3d-af24-7790df867ed5,Aether Barrier,上天の障壁
46,1e33f39b-a61a-4a09-a541-16cc1bd53d02,Aether Burst,霊気の噴出
47,15e83068-6253-4c65-8679-7295f3dc2075,Aether Charge,霊気の突進
48,a3c35742-e306-49b6-b042-db4f685c6f86,Aether Flash,上天の閃光
49,6697fe5b-90ac-4321-aa2f-cdc6ec283cb4,Aether Mutation,上天の突然変異
50,2577ef8e-d85e-47af-ac34-629f31992751,Aether Rift,上天の裂け目
51,61105cb5-d7a1-4021-a006-dd1b947dfa68,Aether Sting,上天の一刺し
52,ff4297d3-3d96-4bd6-a606-1bdc20a6df2b,Aether Storm,上天の嵐
53,2fbf95b4-bcf4-4b5e-b5dc-0294f2b48d3e,Aether Tide,上天の潮流
54,471f6ad3-cf01-42dd-a519-ea8e13039fea,Afflict,苦悩
55,056a98aa-f3f7-4ac9-9755-3e8a60a59abb,Afiya Grove,アフィヤの樹
